"Cherkassy region","Черкасская область"
"Chernigov region","Черниговская область"
"Chernovtsy region","Черновицкая область"
"Crimea region","Крым"
"Dnepropetrovsk region","Днепропетровская область"
"Donetsk region","Донецкая область"
"Ivano-Frankivsk region","Ивано-Франковская область"
"Kharkov region","Харьковская область"
"Kherson region","Херсонская область"
"Khmelnitsky region","Хмельницкая область"
"Kiev region","Киевская область"
"Kirovograd region","Кировоградская область"
"Lugansk region","Луганская область"
"Lviv region","Львовская область"
"Nikolaev region","Николаевская область"
"Odessa region","Одесская область"
"Poltava region","Полтавская область"
"Rivne region","Ровенская область"
"Sumy region","Сумская область"
"Ternopil region","Тернопольская область"
"Vinnitsa region","Винницкая область"
"Volyn region","Волынская область"
"Zakarpattia region","Закарпатская область"
"Zaporozhye region","Запорожская область"
"Zhitomir region","Житомирская область"
"Shipping Details - Nova Poshta","Подробности доставки - Новая Почта"
"ID","ID"
"Region","Регион"
"City","Город"
"Address","Адрес"
"Api City List","Список городов Api"
"Api Depots List","Список отделений Api"
"Nova Poshta","Нова Пошта"
