"Cherkassy region","Черкаська область"
"Chernigov region","Чернігівська область"
"Chernovtsy region","Чернівецька область"
"Crimea region","Крим"
"Dnepropetrovsk region","Дніпропетровська область"
"Donetsk region","Донецька область"
"Ivano-Frankivsk region","Івано-Франківська область"
"Kharkov region","Харківська область"
"Kherson region","Херсонська область"
"Khmelnitsky region","Хмельницька область"
"Kiev region","Київська область"
"Kirovograd region","Кіровоградська область"
"Lugansk region","Луганська область"
"Lviv region","Львівська область"
"Nikolaev region","Миколаївська область"
"Odessa region","Одеська область"
"Poltava region","Полтавська область"
"Rivne region","Рівненська область"
"Sumy region","Сумська область"
"Ternopil region","Тернопільська область"
"Vinnitsa region","Вінницька область"
"Volyn region","Волинська область"
"Zakarpattia region","Закарпатська область"
"Zaporozhye region","Запорізька область"
"Zhitomir region","Житомирська область"
"Shipping Details - Nova Poshta","Деталі доставки - Нова Пошта"
"ID","ID"
"Region","Регіон"
"City","Місто"
"Address","Адреса"
"Api City List","Список міст Api"
"Api Depots List","Список відділень Api"
"Nova Poshta","Нова Пошта"
